symbol,exchange,date,underlying_price,option_symbol,expiration,strike,call_put,style,ask,bid,mean_price,volume,open_interest,iv,iv_raw,delta,gamma,vega,theta,rho,oi_2,option_id,trade_date_fetch
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00479000,2025-03-31,479.0,C,A,124.16,120.85,122.505005,0,597.65,0.365129,0.365129,0.948886,0.00119,0.23793,-0.110629,0.681613,0,109,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00480000,2025-03-31,480.0,C,A,123.17,119.86,121.515,0,597.65,0.362531,0.362531,0.948491,0.001206,0.239456,-0.110669,0.682769,0,129,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00482000,2025-03-31,482.0,C,A,121.04,117.92,119.479996,0,597.65,0.355055,0.355055,0.948679,0.001228,0.238728,-0.109091,0.686062,0,5,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00469000,2025-03-31,469.0,C,A,134.02,130.7,132.36,0,597.65,0.389163,0.389163,0.953344,0.001034,0.220457,-0.108711,0.67059,0,103,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00484000,2025-03-31,484.0,C,A,119.23,115.93,117.58,0,597.65,0.353168,0.353168,0.946408,0.001279,0.247442,-0.111551,0.686893,0,5,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00485000,2025-03-31,485.0,C,A,118.05,114.96,116.505005,0,597.65,0.347116,0.347116,0.947541,0.001279,0.243108,-0.109054,0.68958,0,202,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00472000,2025-03-31,472.0,C,A,131.06,127.75,129.405,0,597.65,0.382031,0.382031,0.952034,0.001079,0.225642,-0.109363,0.673919,0,4,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00483000,2025-03-31,483.0,C,A,120.22,116.91,118.565,0,597.65,0.355563,0.355563,0.946915,0.001261,0.245504,-0.111373,0.685848,0,5,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00475000,2025-03-31,475.0,C,A,128.1,124.81,126.455,0,597.65,0.375103,0.375103,0.950592,0.001126,0.2313,-0.110142,0.677121,1,364,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00491000,2025-03-31,491.0,C,A,112.36,109.05,110.705,0,597.65,0.337113,0.337113,0.942301,0.001424,0.262908,-0.113274,0.693671,0,14,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00486000,2025-03-31,486.0,C,A,117.27,113.96,115.615,0,597.65,0.348571,0.348571,0.945283,0.001319,0.251715,-0.112043,0.688875,4,61,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00489000,2025-03-31,489.0,C,A,114.32,111.01,112.665,0,597.65,0.341552,0.341552,0.943589,0.00138,0.258096,-0.112679,0.691846,0,8,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00490000,2025-03-31,490.0,C,A,113.34,110.03,111.685,0,597.65,0.339335,0.339335,0.942949,0.001402,0.260492,-0.112979,0.692762,0,129,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00493000,2025-03-31,493.0,C,A,110.23,107.09,108.66,0,597.65,0.329444,0.329444,0.942579,0.001452,0.261873,-0.111426,0.69706,0,25,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00492000,2025-03-31,492.0,C,A,111.21,108.11,109.66,0,597.65,0.332415,0.332415,0.94286,0.001433,0.260823,-0.111704,0.695785,0,4,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00497000,2025-03-31,497.0,C,A,106.32,103.2,104.759995,0,597.65,0.321314,0.321314,0.939475,0.001554,0.273344,-0.113126,0.700196,0,10,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00496000,2025-03-31,496.0,C,A,107.29,104.18,105.735,0,597.65,0.32336,0.32336,0.940265,0.001527,0.270445,-0.112712,0.699425,0,23,2025-02-03
