open,high,low,close,volume,trade_count,vwap
480.46,481.0,480.46,480.96,3294965.0,21147.0,480.749308
480.9501,481.45,480.94,481.4,2696780.0,19969.0,481.184061
481.4,481.71,481.13,481.6694,3493727.0,17202.0,481.399249
481.67,482.35,481.524,482.285,3620437.0,20980.0,481.894756
482.27,482.72,481.73,481.97,3996047.0,29541.0,482.151746
481.97,482.19,481.33,481.92,3612513.0,24990.0,481.781477
481.93,482.25,481.62,482.21,2013640.0,16330.0,481.986488
482.21,482.55,482.03,482.19,2902666.0,20896.0,482.297148
482.19,482.42,481.79,482.14,2705256.0,19578.0,482.125636
482.14,482.3895,481.87,481.87,2960270.0,24059.0,482.135548
481.88,482.48,481.835,482.42,12328109.0,53357.0,482.188188
482.43,482.74,482.11,482.49,14638903.0,4222.0,482.453571
482.52,482.62,482.35,482.62,1073279.0,933.0,482.440433
482.61,482.75,482.6,482.66,118368.0,565.0,482.653275
482.65,482.67,478.4765,482.38,342027.0,1163.0,482.425899
482.43,482.5,482.31,482.4,34584.0,321.0,482.369542
482.4,482.48,482.4,482.45,25758.0,212.0,482.443606
482.45,482.45,482.37,482.4,16281.0,173.0,482.433814
482.4,482.44,482.31,482.37,30467.0,708.0,482.384678
482.37,482.52,482.36,482.44,219482.0,239.0,482.440429
482.45,482.51,482.43,482.43,32907.0,138.0,482.451954
482.48,482.48,482.44,482.44,4819.0,100.0,482.457662
482.46,482.48,482.4599,482.48,7892.0,132.0,482.477984
482.48,482.52,482.46,482.5,21581.0,143.0,482.486214
482.5,482.52,482.48,482.52,9097.0,102.0,482.485577
482.55,482.63,482.54,482.6,5561.0,150.0,482.553666
482.64,482.65,482.6,482.64,14205.0,243.0,482.632374
483.67,483.76,483.0,483.47,16154.0,136.0,483.419307
483.61,483.7,483.56,483.6,10764.0,72.0,483.635983
483.62,483.87,483.59,483.87,6330.0,46.0,483.71826
483.78,483.88,483.69,483.88,4723.0,43.0,483.764223
483.77,483.99,483.66,483.97,11270.0,102.0,483.815788
483.94,483.94,483.71,483.75,6458.0,60.0,483.874768
483.77,483.84,483.67,483.67,3326.0,62.0,483.777804
483.83,483.88,483.71,483.77,4629.0,52.0,483.862599
483.73,483.88,483.73,483.88,4315.0,110.0,483.753296
483.91,483.98,483.91,483.94,3147.0,31.0,483.948392
483.95,484.13,483.95,484.1,13753.0,112.0,484.014403
484.1,484.12,483.81,483.81,11890.0,83.0,483.95595
483.81,484.14,483.62,484.13,118726.0,686.0,483.849842
484.13,484.35,484.055,484.27,130965.0,628.0,484.256537
484.3,484.44,484.17,484.32,58949.0,293.0,484.346583
484.24,484.41,484.15,484.4,48999.0,309.0,484.289534
483.87,484.41,483.37,484.22,127617.0,1491.0,484.231927
484.21,484.36,484.09,484.35,49790.0,508.0,484.225287
484.36,484.39,483.85,483.86,222432.0,1351.0,484.092857
483.83,484.0802,483.79,484.03,127809.0,927.0,483.90922
484.03,484.04,483.74,483.81,142242.0,1118.0,483.868315
483.84,484.18,483.81,484.01,230959.0,1358.0,484.013288
484.01,484.9,483.9,484.48,5363535.0,47351.0,484.482213
484.48,485.2,484.34,485.02,3060248.0,25752.0,484.885605
485.0199,485.22,484.2516,484.9481,3381259.0,42407.0,484.774883
484.95,485.07,484.25,484.37,3289885.0,24599.0,484.718508
484.38,484.4,483.69,484.04,4441398.0,29708.0,484.059153
484.03,484.06,483.21,483.55,3328511.0,24374.0,483.674824
483.56,483.8471,482.96,483.82,1938574.0,18257.0,483.48501
483.82,484.13,483.76,484.07,2116580.0,15076.0,483.928401
484.06,484.16,483.5,483.58,1765240.0,14288.0,483.888913
483.58,484.21,483.56,484.07,1451363.0,11904.0,483.868865
484.07,484.16,483.19,483.6999,2590112.0,14624.0,483.656821
483.7,484.005,483.53,483.92,1352496.0,10322.0,483.803873
483.9212,484.04,483.495,483.83,1426668.0,11944.0,483.778577
483.825,483.945,483.56,483.75,1367744.0,11919.0,483.774451
483.77,483.77,483.28,483.705,2163361.0,12689.0,483.554858
483.7,483.79,482.78,482.89,1703619.0,15654.0,483.349644
482.9,483.495,482.86,483.34,2410020.0,16706.0,483.236379
483.35,483.98,483.3,483.84,1796925.0,14862.0,483.723016
483.845,484.01,483.59,483.66,2063749.0,14040.0,483.823117
483.65,483.71,483.02,483.61,2097277.0,21550.0,483.371618
483.62,483.77,483.27,483.49,2316159.0,17297.0,483.544218
483.49,483.66,483.39,483.635,1394161.0,11610.0,483.558518
483.65,483.83,483.32,483.76,1790454.0,15172.0,483.573024
483.76,484.2,483.65,484.1001,2041321.0,16397.0,483.900314
484.105,484.19,483.69,483.74,2483720.0,21932.0,483.988304
483.75,483.9099,483.37,483.52,7596100.0,51137.0,483.599449
483.52,483.6,483.33,483.37,6631487.0,2321.0,483.453658
483.36,483.53,483.34,483.45,393978.0,645.0,483.391957
483.45,483.5,483.4,483.47,817376.0,414.0,483.448761
483.47,483.5,483.43,483.45,29368.0,205.0,483.46833
483.41,483.49,483.37,483.37,6637.0,138.0,483.432145
483.4,483.4,483.36,483.3999,6658.0,106.0,483.395784
483.34,483.4,483.34,483.4,12692.0,1219.0,483.375908
483.3501,483.4,483.35,483.35,6532.0,90.0,483.393554
483.4,483.49,483.261,483.43,16190.0,222.0,483.403584
483.4134,483.45,483.4,483.4,3158.0,54.0,483.41396
483.48,483.66,483.48,483.63,5387.0,138.0,483.579292
483.61,483.61,483.51,483.51,535.0,17.0,483.582336
483.51,483.67,483.48,483.5,5940.0,60.0,483.552588
483.48,483.51,483.45,483.46,2002.0,54.0,483.462641
